,Studies,Action,Log_hrs,Study_hrs
5699,s37103,Non-curation  ,6.5,301.5
5693,s37103,Quality-checks  ,1,301.5
5694,s37103,Communication-for-study  ,8,301.5
5703,s37103,Quality-checks  ,4,301.5
5696,s37103,Quality-checks  ,1.5,301.5
5704,s37103,Quality-checks  ,,301.5
5705,s37103,Metadata-study-level  ,7,301.5
5706,s37103,Quality-checks  ,8,301.5
5691,s37103,Quality-checks  ,4,301.5
5701,s37103,Quality-checks  ,,301.5
5689,s37103,Communication-for-study  ,8,301.5
5698,s37103,Non-curation  ,8,301.5
5737,s37103,Non-curation  ,8,301.5
5716,s37103,Transformation-of-data  ,7.5,301.5
5719,s37103,Quality-checks  ,8,301.5
5717,s37103,Quality-checks  ,8,301.5
5722,s37103,Quality-checks  ,3,301.5
5721,s37103,Transformation-of-data  ,3.5,301.5
5720,s37103,Quality-checks  ,1,301.5
5736,s37103,Quality-checks  ,8,301.5
5714,s37103,Non-curation  ,8,301.5
5732,s37103,Quality-checks  ,4,301.5
5713,s37103,Transformation-of-data  ,8,301.5
5712,s37103,Quality-checks  ,7.5,301.5
5724,s37103,Non-curation  ,8,301.5
5711,s37103,Quality-checks  ,4,301.5
5715,s37103,Quality-checks  ,2,301.5
5723,s37103,Communication-for-study  ,1.5,301.5
5725,s37103,Quality-checks  ,4,301.5
5738,s37103,Quality-checks  ,7,301.5
5727,s37103,Non-curation  ,4,301.5
5731,s37103,Quality-checks  ,,301.5
5733,s37103,Other  ,3,301.5
5734,s37103,Transformation-of-data  ,8,301.5
5735,s37103,Quality-checks  ,0.5,301.5
5728,s37103,Transformation-of-data  ,3.5,301.5
5730,s37103,Quality-checks  ,0.5,301.5
5740,s37103,Initial-review-and-planning  ,6,301.5
5729,s37103,Quality-checks  ,3,301.5
5742,s37103,Non-curation  ,2.5,301.5
5710,s37103,Quality-checks  ,2,301.5
5726,s37103,Other  ,8,301.5
5709,s37103,Documentation  ,1,301.5
5739,s37103,Quality-checks  ,8,301.5
5718,s37103,Quality-checks  ,2,301.5
5741,s37103,Quality-checks  ,4,301.5
5744,s37105,Quality-checks  ,4,68
5750,s37105,Communication-for-study  ,2,68
5745,s37105,Transformation-of-data  ,8,68
5753,s37105,Quality-checks  ,1,68
5743,s37105,Documentation  ,8,68
5747,s37105,Quality-checks  ,4,68
5751,s37105,Transformation-of-data  ,4,68
5749,s37105,Quality-checks  ,4,68
5755,s37105,Quality-checks  ,2,68
5754,s37105,Transformation-of-data  ,4,68
5748,s37105,Transformation-of-data  ,4,68
5752,s37105,Quality-checks  ,2,68
5746,s37105,Metadata-study-level  ,6,68
5759,s37106,Metadata-study-level  ,0.5,66.5
5760,s37106,Transformation-of-data  ,4,66.5
5761,s37106,Quality-checks  ,4,66.5
5764,s37106,Other  ,0.5,66.5
5756,s37106,Documentation  ,1,66.5
5757,s37106,Quality-checks  ,0.5,66.5
5758,s37106,Transformation-of-data  ,,66.5
5763,s37106,Initial-review-and-planning  ,2,66.5
5762,s37106,Initial-review-and-planning  ,5,66.5
5765,s37106,Quality-checks  ,,66.5
5767,s37106,Transformation-of-data  ,8,66.5
5769,s37106,Initial-review-and-planning  ,4,66.5
5770,s37106,Quality-checks  ,0.5,66.5
5771,s37106,Initial-review-and-planning  ,8,66.5
5772,s37106,Initial-review-and-planning  ,0.5,66.5
5773,s37106,Metadata-study-level  ,4,66.5
5766,s37106,Transformation-of-data  ,4,66.5
5768,s37106,Transformation-of-data  ,8,66.5
5799,s37110,Transformation-of-data  ,3.5,182
5784,s37110,Transformation-of-data  ,3,182
5779,s37110,Transformation-of-data  ,8,182
5778,s37110,Transformation-of-data  ,4,182
5777,s37110,Transformation-of-data  ,4.5,182
5776,s37110,Quality-checks  ,7,182
5775,s37110,Quality-checks  ,1,182
5783,s37110,Quality-checks  ,5,182
5794,s37110,Non-curation  ,0.5,182
5782,s37110,Quality-checks  ,4,182
5786,s37110,Transformation-of-data  ,4,182
5797,s37110,Transformation-of-data  ,8,182
5780,s37110,Transformation-of-data  ,0.5,182
5774,s37110,Non-curation  ,,182
5796,s37110,Transformation-of-data  ,3.5,182
5798,s37110,Non-curation  ,2,182
5793,s37110,Quality-checks  ,,182
5792,s37110,Quality-checks  ,1,182
5785,s37110,Non-curation  ,1.5,182
5790,s37110,Transformation-of-data  ,8,182
5789,s37110,Non-curation  ,1.5,182
5791,s37110,Quality-checks  ,0.5,182
5787,s37110,Transformation-of-data  ,,182
5781,s37110,Transformation-of-data  ,8,182
5795,s37110,Non-curation  ,3.5,182
5788,s37110,Quality-checks  ,,182
5813,s37110,Transformation-of-data  ,2,182
5800,s37110,Transformation-of-data  ,7.5,182
5806,s37110,Non-curation  ,1.5,182
5805,s37110,Transformation-of-data  ,,182
5808,s37110,Transformation-of-data  ,8,182
5807,s37110,Initial-review-and-planning  ,,182
5811,s37110,Initial-review-and-planning  ,7,182
5803,s37110,Initial-review-and-planning  ,2.5,182
5804,s37110,Transformation-of-data  ,,182
5812,s37110,Transformation-of-data  ,1,182
5810,s37110,Documentation  ,8,182
5824,s37110,Communication-for-study  ,6,182
5814,s37110,Transformation-of-data  ,4.5,182
5802,s37110,Transformation-of-data  ,4,182
5825,s37110,Initial-review-and-planning  ,,182
5809,s37110,Non-curation  ,1,182
5822,s37110,Transformation-of-data  ,1,182
5801,s37110,Non-curation  ,,182
5821,s37110,Transformation-of-data  ,1,182
5820,s37110,Transformation-of-data  ,2,182
5823,s37110,Transformation-of-data  ,0.5,182
5818,s37110,Initial-review-and-planning  ,3,182
5817,s37110,Transformation-of-data  ,2.5,182
5816,s37110,Transformation-of-data  ,1,182
5819,s37110,Transformation-of-data  ,3,182
5815,s37110,Non-curation  ,4,182
5827,s37111,Quality-checks  ,2,76.8
5833,s37111,Documentation  ,7.5,76.8
5830,s37111,Non-curation  ,8,76.8
5834,s37111,Quality-checks  ,1.5,76.8
5836,s37111,Transformation-of-data  ,7.5,76.8
5831,s37111,Non-curation  ,8,76.8
5829,s37111,Non-curation  ,4,76.8
5826,s37111,Non-curation  ,2.5,76.8
5832,s37111,Non-curation  ,8,76.8
5835,s37111,Non-curation  ,0.3,76.8
5828,s37111,Initial-review-and-planning  ,0.5,76.8
5837,s37111,Quality-checks  ,3.5,76.8
5840,s37111,Initial-review-and-planning  ,,76.8
5842,s37111,Quality-checks  ,,76.8
5838,s37111,Quality-checks  ,0.5,76.8
5846,s37111,Quality-checks  ,0.5,76.8
5845,s37111,Quality-checks  ,0.5,76.8
5843,s37111,Initial-review-and-planning  ,,76.8
5841,s37111,Non-curation  ,8,76.8
5839,s37111,Metadata-study-level  ,1,76.8
5844,s37111,Non-curation  ,0.5,76.8
5847,s37111,Non-curation  ,4.5,76.8
5850,s37114,Initial-review-and-planning  ,,41.5
5855,s37114,Quality-checks  ,1,41.5
5859,s37114,Quality-checks  ,1,41.5
5853,s37114,Transformation-of-data  ,7.5,41.5
5849,s37114,Initial-review-and-planning  ,4,41.5
5856,s37114,Quality-checks  ,2.5,41.5
5851,s37114,Transformation-of-data  ,4,41.5
5858,s37114,Transformation-of-data  ,1,41.5
5860,s37114,Initial-review-and-planning  ,0.5,41.5
5854,s37114,Communication-for-study  ,2,41.5
5848,s37114,Transformation-of-data  ,2,41.5
5857,s37114,Transformation-of-data  ,2,41.5
5852,s37114,Initial-review-and-planning  ,8,41.5
5861,s37115,Non-curation  ,4,16.5
5862,s37115,Quality-checks  ,1.5,16.5
5863,s37115,Quality-checks  ,1,16.5
5864,s37115,Quality-checks  ,2,16.5
5865,s37115,Initial-review-and-planning  ,1,16.5
5866,s37115,Transformation-of-data  ,7,16.5
9448,s37116,Initial-review-and-planning  ,2,2
5875,s37118,Non-curation  ,2,17
5870,s37118,Quality-checks  ,2,17
5871,s37118,Quality-checks  ,1,19.5
5872,s37118,Communication-for-study  ,,17
5873,s37118,Initial-review-and-planning  ,0.5,19.5
5867,s37118,Non-curation  ,0.5,19.5
9449,s37118,Metadata-study-level  ,4.5,14
5877,s37118,Non-curation  ,1,19.5
5874,s37118,Non-curation  ,0.5,17
5879,s37118,Quality-checks  ,2,17
5886,s37118,Metadata-study-level  ,2,19.5
5878,s37118,Initial-review-and-planning  ,,19.5
5883,s37118,Non-curation  ,1.5,17
5868,s37118,Quality-checks  ,2,19.5
5880,s37118,Non-curation  ,1.5,17
5882,s37118,Non-curation  ,1,19.5
9450,s37118,Metadata-study-level  ,1,14
5869,s37118,Initial-review-and-planning  ,,19.5
9451,s37118,Quality-checks  ,1,14
9452,s37118,Quality-checks  ,2.5,14
9453,s37118,Non-curation  ,0.5,14
9454,s37118,Non-curation  ,1,14
9457,s37118,Quality-checks  ,1.5,14
9455,s37118,Non-curation  ,1,14
5884,s37118,Quality-checks  ,2,17
5885,s37118,Non-curation  ,0.5,17
5881,s37118,Non-curation  ,5,19.5
5888,s37118,Quality-checks  ,0.5,17
5876,s37118,Documentation  ,3,17
5887,s37118,Quality-checks  ,,19.5
9456,s37118,Initial-review-and-planning  ,1,14
5889,s37119,Quality-checks  ,4,114.5
5890,s37119,Quality-checks  ,,114.5
5891,s37119,Quality-checks  ,1,114.5
5892,s37119,Quality-checks  ,3.5,114.5
5905,s37120,Documentation  ,0.5,120.5
5923,s37120,Documentation  ,8,120.5
9460,s37120,Quality-checks  ,2,135.5
9474,s37120,Transformation-of-data  ,8,135.5
9477,s37120,Documentation  ,8,135.5
9470,s37120,Non-curation  ,1,135.5
9471,s37120,Initial-review-and-planning  ,8,135.5
9462,s37120,Non-curation  ,8,135.5
9469,s37120,Communication-for-study  ,8,135.5
9473,s37120,Non-curation  ,8,135.5
9472,s37120,Non-curation  ,2,135.5
5921,s37120,Quality-checks  ,,120.5
9467,s37120,Non-curation  ,4.5,135.5
9461,s37120,Non-curation  ,8,135.5
9468,s37120,Quality-checks  ,2,135.5
9464,s37120,Communication-for-study  ,8,135.5
9463,s37120,Non-curation  ,,135.5
9476,s37120,Non-curation  ,8,135.5
9465,s37120,Initial-review-and-planning  ,6,135.5
9478,s37120,Non-curation  ,8,135.5
9459,s37120,Initial-review-and-planning  ,4,135.5
9458,s37120,Initial-review-and-planning  ,2.5,135.5
9479,s37120,Metadata-study-level  ,8,135.5
9466,s37120,Transformation-of-data  ,5,135.5
9480,s37120,Metadata-study-level  ,8,135.5
5903,s37120,Non-curation  ,6.5,120.5
9475,s37120,Non-curation  ,8,135.5
5922,s37120,Transformation-of-data  ,3.5,120.5
5893,s37120,Initial-review-and-planning  ,1,120.5
5900,s37120,Quality-checks  ,0.5,120.5
5896,s37120,Other  ,3.5,120.5
5919,s37120,Other  ,1,120.5
5898,s37120,Quality-checks  ,8,120.5
5901,s37120,Communication-for-study  ,6.5,120.5
5894,s37120,Communication-for-study  ,4,120.5
5897,s37120,Transformation-of-data  ,7,120.5
5913,s37120,Quality-checks  ,2.5,120.5
5899,s37120,Transformation-of-data  ,0.5,120.5
5920,s37120,Transformation-of-data  ,1.5,120.5
5911,s37120,Documentation  ,8,120.5
5902,s37120,Metadata-study-level  ,8,120.5
5912,s37120,Quality-checks  ,3,120.5
5907,s37120,Non-curation  ,3.5,120.5
5908,s37120,Quality-checks  ,,120.5
5917,s37120,Non-curation  ,6,120.5
5909,s37120,Communication-for-study  ,2,120.5
5910,s37120,Transformation-of-data  ,,120.5
5895,s37120,Quality-checks  ,1,120.5
5918,s37120,Other  ,4,120.5
5904,s37120,Initial-review-and-planning  ,8,120.5
5914,s37120,Quality-checks  ,3,120.5
5915,s37120,Quality-checks  ,1,120.5
5906,s37120,Communication-for-study  ,0.5,120.5
5916,s37120,Transformation-of-data  ,,120.5
5938,s37121,Non-curation  ,6,54.7
5927,s37121,Non-curation  ,2,54.7
5937,s37121,Documentation  ,0.5,54.7
5930,s37121,Non-curation  ,2.5,54.7
5936,s37121,Initial-review-and-planning  ,,54.7
5939,s37121,Transformation-of-data  ,2,54.7
5941,s37121,Initial-review-and-planning  ,2.5,54.7
5928,s37121,Non-curation  ,2.5,54.7
5940,s37121,Non-curation  ,5.2,54.7
5925,s37121,Quality-checks  ,5.5,54.7
5935,s37121,Non-curation  ,6,54.7
5926,s37121,Quality-checks  ,1,54.7
5933,s37121,Non-curation  ,7,54.7
5931,s37121,Other  ,0.5,54.7
5924,s37121,Quality-checks  ,3.5,54.7
5934,s37121,Non-curation  ,4,54.7
5929,s37121,Documentation  ,1,54.7
5932,s37121,Documentation  ,1,54.7
5945,s37122,Quality-checks  ,1.5,25.06666667
5944,s37122,Quality-checks  ,1,25.06666667
5942,s37122,Quality-checks  ,0.5,25.06666667
5943,s37122,Non-curation  ,1,25.06666667
5952,s37124,Quality-checks  ,0.083333333,51.08333333
5949,s37124,Communication-for-study  ,0.333333333,51.08333333
5954,s37124,Quality-checks  ,,51.08333333
5957,s37124,Quality-checks  ,0.416666667,51.08333333
5950,s37124,Initial-review-and-planning  ,4.5,51.08333333
5946,s37124,Documentation  ,1.5,51.08333333
5947,s37124,Initial-review-and-planning  ,0.666666667,51.08333333
5960,s37124,Non-curation  ,1,51.08333333
5953,s37124,Quality-checks  ,0.5,51.08333333
5955,s37124,Initial-review-and-planning  ,,51.08333333
5948,s37124,Quality-checks  ,1,51.08333333
5951,s37124,Quality-checks  ,,51.08333333
5956,s37124,Quality-checks  ,0.5,51.08333333
5963,s37124,Quality-checks  ,1.75,51.08333333
5962,s37124,Quality-checks  ,6.5,51.08333333
5968,s37124,Other  ,0.166666667,51.08333333
5961,s37124,Initial-review-and-planning  ,1,51.08333333
5964,s37124,Non-curation  ,1.166666667,51.08333333
5971,s37124,Quality-checks  ,2,51.08333333
5969,s37124,Non-curation  ,1,51.08333333
5970,s37124,Other  ,2.416666667,51.08333333
5967,s37124,Metadata-study-level  ,3,51.08333333
5959,s37124,Initial-review-and-planning  ,3,51.08333333
5966,s37124,Initial-review-and-planning  ,4.583333333,51.08333333
5958,s37124,Initial-review-and-planning  ,2.166666667,51.08333333
5965,s37124,Non-curation  ,1,51.08333333
5975,s37125,Non-curation  ,1,19
5976,s37125,Non-curation  ,2.5,19
5972,s37125,Quality-checks  ,1,19
5980,s37125,Non-curation  ,0.5,19
5974,s37125,Initial-review-and-planning  ,0.5,19
5973,s37125,Initial-review-and-planning  ,1.5,19
5977,s37125,Non-curation  ,0.5,19
5978,s37125,Non-curation  ,1,19
5979,s37125,Documentation  ,6.5,19
5994,s37126,Initial-review-and-planning  ,2.166666667,122.5333333
5984,s37126,Quality-checks  ,2,122.5333333
5993,s37126,Quality-checks  ,1,122.5333333
5986,s37126,Documentation  ,8,122.5333333
5983,s37126,Quality-checks  ,1.5,122.5333333
6001,s37126,Documentation  ,,122.5333333
6000,s37126,Quality-checks  ,0.5,122.5333333
5998,s37126,Documentation  ,0.5,122.5333333
5995,s37126,Initial-review-and-planning  ,6,122.5333333
5992,s37126,Transformation-of-data  ,1,122.5333333
5981,s37126,Documentation  ,,122.5333333
5990,s37126,Initial-review-and-planning  ,2.466666667,122.5333333
5987,s37126,Quality-checks  ,1.5,122.5333333
5985,s37126,Communication-for-study  ,,122.5333333
5982,s37126,Documentation  ,4.5,122.5333333
5996,s37126,Quality-checks  ,2,122.5333333
5991,s37126,Communication-for-study  ,4,122.5333333
5989,s37126,Transformation-of-data  ,8,122.5333333
5997,s37126,Communication-for-study  ,1,122.5333333
5988,s37126,Communication-for-study  ,2,122.5333333
5999,s37126,Quality-checks  ,0.5,122.5333333
6015,s37127,Non-curation  ,2,69
6021,s37127,Initial-review-and-planning  ,,69
6018,s37127,Quality-checks  ,0.5,69
6023,s37127,Non-curation  ,5.5,69
6024,s37127,Quality-checks  ,1.5,69
6017,s37127,Non-curation  ,8,69
6007,s37127,Non-curation  ,4.5,69
6022,s37127,Non-curation  ,0.5,69
6016,s37127,Non-curation  ,1,69
6020,s37127,Quality-checks  ,2.5,69
6005,s37127,Non-curation  ,8,69
6003,s37127,Quality-checks  ,6,69
6011,s37127,Quality-checks  ,1,69
6002,s37127,Quality-checks  ,0.5,69
6013,s37127,Communication-for-study  ,1,69
6009,s37127,Quality-checks  ,6,69
6008,s37127,Non-curation  ,2,69
6019,s37127,Communication-for-study  ,3,69
6010,s37127,Quality-checks  ,6.5,69
6014,s37127,Non-curation  ,5,69
6004,s37127,Quality-checks  ,2,69
6012,s37127,Quality-checks  ,0.5,69
6006,s37127,Quality-checks  ,1,69
6044,s37128,Quality-checks  ,6.5,56.5
6038,s37128,Transformation-of-data  ,2,56.5
6027,s37128,Transformation-of-data  ,2,56.5
6042,s37128,Transformation-of-data  ,2,56.5
6029,s37128,Transformation-of-data  ,5,56.5
6040,s37128,Other  ,2,56.5
6039,s37128,Metadata-study-level  ,6.5,56.5
6041,s37128,Metadata-study-level  ,0.5,56.5
6037,s37128,Quality-checks  ,0.5,56.5
6043,s37128,Transformation-of-data  ,3,56.5
6035,s37128,Other  ,2.5,56.5
6032,s37128,Other  ,1.5,56.5
6034,s37128,Transformation-of-data  ,2,56.5
6030,s37128,Non-curation  ,3,56.5
6031,s37128,Initial-review-and-planning  ,5.5,56.5
6026,s37128,Transformation-of-data  ,0.5,56.5
6033,s37128,Initial-review-and-planning  ,2,56.5
6036,s37128,Quality-checks  ,0.5,56.5
6025,s37128,Quality-checks  ,4,56.5
6028,s37128,Transformation-of-data  ,5,56.5
6060,s37131,Quality-checks  ,2.5,37.58333333
6057,s37131,Initial-review-and-planning  ,1.5,37.58333333
6058,s37131,Initial-review-and-planning  ,3.5,37.58333333
6045,s37131,Initial-review-and-planning  ,1.25,37.58333333
6055,s37131,Communication-for-study  ,,37.58333333
6047,s37131,Metadata-study-level  ,3.083333333,37.58333333
6056,s37131,Initial-review-and-planning  ,1,37.58333333
6059,s37131,Quality-checks  ,0.333333333,37.58333333
6049,s37131,Non-curation  ,1.416666667,37.58333333
6048,s37131,Quality-checks  ,8,37.58333333
6046,s37131,Communication-for-study  ,2.333333333,37.58333333
6054,s37131,Quality-checks  ,,37.58333333
6052,s37131,Quality-checks  ,5,37.58333333
6053,s37131,Quality-checks  ,0.5,37.58333333
6050,s37131,Quality-checks  ,3,37.58333333
6051,s37131,Transformation-of-data  ,2.333333333,37.58333333
6082,s37132,Initial-review-and-planning  ,8.5,241.5
6068,s37132,Transformation-of-data  ,6,241.5
6080,s37132,Communication-for-study  ,8,241.5
6081,s37132,Transformation-of-data  ,8.5,241.5
6075,s37132,Initial-review-and-planning  ,8,241.5
6065,s37132,Initial-review-and-planning  ,2,241.5
6079,s37132,Transformation-of-data  ,4,241.5
6069,s37132,Transformation-of-data  ,4,241.5
6067,s37132,Initial-review-and-planning  ,8.5,241.5
6062,s37132,Initial-review-and-planning  ,1,241.5
6070,s37132,Non-curation  ,1.5,241.5
6061,s37132,Non-curation  ,1,241.5
6072,s37132,Transformation-of-data  ,8.5,241.5
6071,s37132,Initial-review-and-planning  ,8.5,241.5
6083,s37132,Initial-review-and-planning  ,8.5,241.5
6074,s37132,Initial-review-and-planning  ,8.5,241.5
6076,s37132,Initial-review-and-planning  ,4,241.5
6077,s37132,Transformation-of-data  ,2,241.5
6066,s37132,Initial-review-and-planning  ,6,241.5
6078,s37132,Transformation-of-data  ,8.5,241.5
6063,s37132,Quality-checks  ,8,241.5
6073,s37132,Transformation-of-data  ,8,241.5
6064,s37132,Initial-review-and-planning  ,4,241.5
6108,s37135,Quality-checks  ,8,87.6
6098,s37135,Non-curation  ,1,87.6
6103,s37135,Quality-checks  ,1,87.6
6110,s37135,Quality-checks  ,0.5,87.6
6106,s37135,Quality-checks  ,0.5,87.6
6099,s37135,Quality-checks  ,4,87.6
6102,s37135,Transformation-of-data  ,0.5,87.6
6109,s37135,Quality-checks  ,4,87.6
6105,s37135,Transformation-of-data  ,5,87.6
6111,s37135,Metadata-study-level  ,3,87.6
6107,s37135,Communication-for-study  ,0.5,87.6
6084,s37135,Non-curation  ,2,87.6
6100,s37135,Communication-for-study  ,1,87.6
6101,s37135,Quality-checks  ,6,87.6
6085,s37135,Non-curation  ,1,87.6
6097,s37135,Initial-review-and-planning  ,2,87.6
6090,s37135,Documentation  ,4,87.6
6104,s37135,Quality-checks  ,1,87.6
6091,s37135,Quality-checks  ,3,87.6
6087,s37135,Transformation-of-data  ,1.5,87.6
6093,s37135,Quality-checks  ,2,87.6
6089,s37135,Other  ,5,87.6
6096,s37135,Non-curation  ,1.5,87.6
6086,s37135,Transformation-of-data  ,4,87.6
6092,s37135,Transformation-of-data  ,1.5,87.6
6088,s37135,Quality-checks  ,7.6,87.6
6094,s37135,Quality-checks  ,4,87.6
6095,s37135,Other  ,0.5,87.6
6114,s37136,Initial-review-and-planning  ,4,113.5
6133,s37136,Quality-checks  ,6,113.5
6138,s37136,Quality-checks  ,2,113.5
6139,s37136,Quality-checks  ,6,113.5
6137,s37136,Quality-checks  ,0.5,113.5
6135,s37136,Non-curation  ,0.5,113.5
6116,s37136,Transformation-of-data  ,1,113.5
6136,s37136,Non-curation  ,1,113.5
6134,s37136,Non-curation  ,4,113.5
6125,s37136,Communication-for-study  ,5,113.5
6115,s37136,Transformation-of-data  ,7,113.5
6124,s37136,Quality-checks  ,0.5,113.5
6132,s37136,Quality-checks  ,6,113.5
6117,s37136,Metadata-study-level  ,3,113.5
6122,s37136,Transformation-of-data  ,6.5,113.5
6119,s37136,Quality-checks  ,6.5,113.5
6113,s37136,Initial-review-and-planning  ,8,113.5
6129,s37136,Non-curation  ,3,113.5
6128,s37136,Initial-review-and-planning  ,8,113.5
6126,s37136,Transformation-of-data  ,3.5,113.5
6123,s37136,Quality-checks  ,2,113.5
6127,s37136,Non-curation  ,1.5,113.5
6130,s37136,Initial-review-and-planning  ,8,113.5
6120,s37136,Non-curation  ,1,113.5
6118,s37136,Non-curation  ,2,113.5
6112,s37136,Quality-checks  ,3,113.5
6140,s37136,Transformation-of-data  ,7.5,113.5
6131,s37136,Transformation-of-data  ,5.5,113.5
6121,s37136,Transformation-of-data  ,1,113.5
9494,s37137,Initial-review-and-planning  ,1,154.5
9487,s37137,Initial-review-and-planning  ,3,154.5
9498,s37137,Quality-checks  ,8,154.5
9496,s37137,Transformation-of-data  ,8,154.5
9492,s37137,Initial-review-and-planning  ,4,154.5
9491,s37137,Quality-checks  ,1.5,154.5
9504,s37137,Quality-checks  ,3,154.5
9516,s37137,Quality-checks  ,3,154.5
9493,s37137,Quality-checks  ,1,154.5
9495,s37137,Initial-review-and-planning  ,6,154.5
9514,s37137,Initial-review-and-planning  ,,154.5
9512,s37137,Communication-for-study  ,8,154.5
9490,s37137,Transformation-of-data  ,,154.5
9515,s37137,Quality-checks  ,,154.5
9509,s37137,Communication-for-study  ,1,154.5
9506,s37137,Quality-checks  ,1,154.5
9513,s37137,Transformation-of-data  ,8,154.5
9505,s37137,Quality-checks  ,4.5,154.5
9507,s37137,Quality-checks  ,1,154.5
9508,s37137,Transformation-of-data  ,3,154.5
9489,s37137,Quality-checks  ,2.5,154.5
6154,s37137,Metadata-study-level  ,1,14.25
9511,s37137,Initial-review-and-planning  ,8,154.5
9510,s37137,Metadata-study-level  ,8,154.5
9488,s37137,Quality-checks  ,3,154.5
6146,s37137,Other  ,0.166666667,14.25
9500,s37137,Quality-checks  ,8,154.5
6152,s37137,Documentation  ,1,14.25
6143,s37137,Documentation  ,1.5,14.25
6153,s37137,Quality-checks  ,0.333333333,14.25
6151,s37137,Initial-review-and-planning  ,0.166666667,14.25
6148,s37137,Quality-checks  ,,14.25
6147,s37137,Quality-checks  ,3.5,14.25
6144,s37137,Quality-checks  ,,14.25
9482,s37137,Non-curation  ,8,154.5
6149,s37137,Metadata-study-level  ,,14.25
6150,s37137,Non-curation  ,0.5,14.25
9501,s37137,Quality-checks  ,8,154.5
9503,s37137,Quality-checks  ,1,154.5
6145,s37137,Communication-for-study  ,4,14.25
9502,s37137,Transformation-of-data  ,8,154.5
6142,s37137,Non-curation  ,0.5,14.25
9485,s37137,Quality-checks  ,4.5,154.5
9483,s37137,Quality-checks  ,4.5,154.5
6141,s37137,Quality-checks  ,0.5,14.25
9497,s37137,Quality-checks  ,2.5,154.5
9481,s37137,Quality-checks  ,1,154.5
9486,s37137,Quality-checks  ,0.5,154.5
9499,s37137,Initial-review-and-planning  ,3,154.5
9484,s37137,Quality-checks  ,1,154.5
6162,s37138,Documentation  ,,29.5
6165,s37138,Transformation-of-data  ,,57.5
9519,s37138,Initial-review-and-planning  ,1,17
9518,s37138,Initial-review-and-planning  ,1.5,17
9523,s37138,Quality-checks  ,0.5,17
9522,s37138,Quality-checks  ,1,17
9521,s37138,Quality-checks  ,,17
6155,s37138,Non-curation  ,1.5,57.5
9517,s37138,Metadata-study-level  ,8,17
6158,s37138,Metadata-study-level  ,4.5,29.5
6164,s37138,Transformation-of-data  ,,57.5
6157,s37138,Initial-review-and-planning  ,,29.5
6166,s37138,Initial-review-and-planning  ,,57.5
6159,s37138,Transformation-of-data  ,3,57.5
6167,s37138,Metadata-study-level  ,0.5,29.5
6160,s37138,Metadata-study-level  ,,29.5
6161,s37138,Quality-checks  ,2,57.5
6156,s37138,Transformation-of-data  ,,57.5
6163,s37138,Transformation-of-data  ,,29.5
6182,s37138,Transformation-of-data  ,1,57.5
9520,s37138,Other  ,2,17
6179,s37138,Transformation-of-data  ,1,57.5
9524,s37138,Quality-checks  ,1,17
6184,s37138,Initial-review-and-planning  ,,57.5
6173,s37138,Transformation-of-data  ,2,57.5
6172,s37138,Transformation-of-data  ,1,57.5
6171,s37138,Quality-checks  ,6,57.5
6168,s37138,Metadata-study-level  ,,57.5
6175,s37138,Initial-review-and-planning  ,,29.5
6174,s37138,Documentation  ,,57.5
6178,s37138,Transformation-of-data  ,,57.5
6187,s37138,Quality-checks  ,1,57.5
6170,s37138,Non-curation  ,2,57.5
6185,s37138,Transformation-of-data  ,,57.5
6186,s37138,Quality-checks  ,0.5,57.5
6180,s37138,Quality-checks  ,0.5,57.5
6176,s37138,Quality-checks  ,,57.5
6169,s37138,Transformation-of-data  ,3,57.5
6181,s37138,Quality-checks  ,,57.5
6177,s37138,Transformation-of-data  ,,57.5
9525,s37138,Other  ,1,17
6183,s37138,Initial-review-and-planning  ,,29.5
6199,s37143,Quality-checks  ,2,51.81666667
6198,s37143,Quality-checks  ,1,51.81666667
6195,s37143,Documentation  ,4.583333333,51.81666667
6188,s37143,Non-curation  ,2,51.81666667
6189,s37143,Metadata-study-level  ,2,51.81666667
6190,s37143,Quality-checks  ,1.5,51.81666667
6193,s37143,Metadata-study-level  ,8,51.81666667
6200,s37143,Quality-checks  ,1,51.81666667
6196,s37143,Metadata-study-level  ,4.5,51.81666667
6201,s37143,Quality-checks  ,4,51.81666667
6202,s37143,Initial-review-and-planning  ,0.5,51.81666667
6197,s37143,Transformation-of-data  ,,51.81666667
6194,s37143,Quality-checks  ,3,51.81666667
6192,s37143,Quality-checks  ,2.5,51.81666667
6191,s37143,Communication-for-study  ,3.5,51.81666667
6206,s37144,Transformation-of-data  ,2.75,80.38333333
6207,s37144,Initial-review-and-planning  ,,80.38333333
6209,s37144,Non-curation  ,0.25,80.38333333
6211,s37144,Non-curation  ,2.166666667,80.38333333
6216,s37144,Non-curation  ,1.5,80.38333333
6212,s37144,Quality-checks  ,0.25,80.38333333
6208,s37144,Documentation  ,3.5,80.38333333
6213,s37144,Quality-checks  ,0.5,80.38333333
6203,s37144,Communication-for-study  ,,80.38333333
6220,s37144,Initial-review-and-planning  ,1.416666667,80.38333333
6214,s37144,Quality-checks  ,5,80.38333333
6204,s37144,Transformation-of-data  ,0.666666667,80.38333333
6215,s37144,Non-curation  ,,80.38333333
6217,s37144,Quality-checks  ,1,80.38333333
6205,s37144,Quality-checks  ,3,80.38333333
6218,s37144,Quality-checks  ,,80.38333333
6219,s37144,Communication-for-study  ,0.5,80.38333333
